,frame,x [nm],y [nm],Photon #,Sigma [nm]
267,3.0,2237.69,11640.23,463,114.35
268,3.0,2607.62,54157.39,838,108.7
269,3.0,3085.73,33093.42,414,130.32
270,3.0,3339.76,20012.35,192,105.92
271,3.0,3687.18,36907.26,691,121.64
272,3.0,3838.91,32100.97,467,106.66
273,3.0,5126.37,3025.18,744,123.95
274,3.0,5739.8,9457.56,528,131.76
275,3.0,5984.07,32766.57,194,102.52
276,3.0,6223.16,27784.2,1077,125.55
277,3.0,6274.93,6960.8,191,121.54
278,3.0,6389.99,30232.4,316,110.07
279,3.0,6538.05,25231.35,77,73.07
280,3.0,7091.63,40347.23,933,133.8
281,3.0,7179.07,20414.31,259,111.35
282,3.0,7295.06,27450.83,284,119.47
283,3.0,7513.03,50580.75,675,128.89
284,3.0,7734.83,45128.23,237,118.47
285,3.0,8034.17,16403.51,1802,122.05
286,3.0,8068.16,44666.24,327,105.46
287,3.0,8077.69,33587.39,705,133.22
288,3.0,8219.67,18340.24,421,109.55
289,3.0,8381.0,49457.44,284,99.82
290,3.0,8626.23,15292.03,520,114.96
291,3.0,8876.2,51841.23,289,99.79
292,3.0,9025.11,30401.59,905,126.01
293,3.0,11557.05,34739.26,1028,112.39
294,3.0,11722.9,12085.27,197,114.84
295,3.0,12582.75,15541.03,1050,129.76
296,3.0,12588.54,48739.11,1007,110.31
297,3.0,12637.17,20019.54,431,127.4
298,3.0,13317.61,36515.59,376,92.55
299,3.0,13668.83,15215.44,587,122.81
300,3.0,13686.99,48361.03,546,105.97
301,3.0,13746.9,36158.67,1328,125.37
302,3.0,13848.17,49664.12,765,118.81
303,3.0,14559.89,36433.45,212,106.63
304,3.0,14988.48,50208.29,306,109.69
305,3.0,15689.76,13869.65,272,137.66
306,3.0,15771.94,44154.26,724,115.99
307,3.0,15917.28,22814.43,249,138.29
308,3.0,16661.81,31101.68,152,97.82
309,3.0,17446.34,29594.88,709,126.7
310,3.0,17979.36,52513.02,638,109.26
311,3.0,18058.44,45197.66,320,95.47
312,3.0,19062.8,51095.44,526,129.33
313,3.0,19490.75,52209.87,340,123.85
314,3.0,20037.27,16016.65,597,111.49
315,3.0,20876.51,33500.94,2168,120.39
316,3.0,20991.71,43616.37,176,87.82
317,3.0,21474.92,39021.91,534,132.4
318,3.0,21668.59,50459.84,203,100.73
319,3.0,22026.66,3392.7,1897,133.5
320,3.0,22071.09,20326.37,241,128.42
321,3.0,22234.34,47319.91,1226,121.28
322,3.0,23020.48,34820.29,968,122.35
323,3.0,23116.48,37137.26,163,99.59
324,3.0,23178.83,21537.39,873,118.11
325,3.0,23911.88,15047.64,2206,125.87
326,3.0,24084.85,28195.02,540,130.48
327,3.0,24329.35,3818.71,1600,144.83
328,3.0,24355.02,31320.66,411,143.97
329,3.0,24545.09,41676.44,183,119.36
330,3.0,24591.78,44018.46,798,123.64
331,3.0,24712.55,53425.42,189,120.6
332,3.0,24750.12,39492.97,152,97.48
333,3.0,24804.38,22608.26,2003,129.67
334,3.0,24868.41,7979.56,2949,133.26
335,3.0,25023.37,35314.67,2774,127.85
336,3.0,25236.16,22035.84,1464,123.5
337,3.0,25663.31,6499.41,1701,142.25
338,3.0,25701.45,35298.06,255,131.05
339,3.0,27328.51,6550.06,2522,140.67
340,3.0,27403.3,51934.67,353,131.05
341,3.0,28456.43,5948.23,180,126.92
342,3.0,28597.39,48019.08,751,145.58
343,3.0,28866.22,48960.35,238,107.8
344,3.0,29067.7,47678.12,134,113.31
345,3.0,29122.08,50622.09,120,88.66
346,3.0,29634.57,19131.3,916,134.63
347,3.0,29888.23,45527.19,436,132.21
348,3.0,30364.82,40415.27,334,143.04
349,3.0,30394.98,25681.3,465,131.36
350,3.0,30793.94,30593.84,3509,130.77
351,3.0,30899.71,15305.98,591,117.79
352,3.0,31461.08,49613.38,693,106.37
353,3.0,32926.92,28391.07,1050,128.01
354,3.0,34533.79,38437.91,578,140.43
355,3.0,34598.87,37955.89,225,122.83
356,3.0,35170.2,31642.42,188,90.36
357,3.0,35796.37,41648.4,203,100.61
358,3.0,37319.5,52023.62,270,128.81
359,3.0,37348.62,53433.0,149,96.47
360,3.0,38384.18,22736.98,1126,112.63
361,3.0,38475.13,53594.89,732,117.14
362,3.0,38582.98,23349.42,1287,134.59
363,3.0,38696.15,38636.0,1484,126.9
364,3.0,39295.26,32591.6,642,114.26
365,3.0,40696.96,51474.78,177,75.2
366,3.0,40743.35,37723.05,824,123.57
367,3.0,40920.55,53351.19,513,108.56
368,3.0,41331.25,44891.74,212,108.3
369,3.0,41445.22,30854.72,2799,130.06
370,3.0,42290.21,45723.07,403,131.67
371,3.0,43061.47,50186.88,664,139.99
372,3.0,45053.49,7753.98,1061,128.87
373,3.0,45777.99,27267.19,1588,131.95
374,3.0,46035.64,20779.2,979,126.67
375,3.0,46766.66,40600.01,453,119.92
376,3.0,49188.2,39867.13,1371,150.08
377,3.0,49850.09,30643.4,1324,112.54
378,3.0,50632.28,13687.87,2457,122.94
379,3.0,51164.89,3772.26,285,106.98
380,3.0,51253.04,12425.9,1187,129.86
381,3.0,51290.17,31725.9,1213,120.76
382,3.0,51569.64,50000.67,910,110.94
383,3.0,52251.06,50920.2,628,116.31
384,3.0,52256.12,30398.08,227,104.72
385,3.0,52371.33,50525.07,455,125.03
386,3.0,52527.27,15896.94,151,98.9
387,3.0,53210.36,45550.15,193,130.88
388,3.0,53454.86,19700.45,689,127.37
389,3.0,53776.74,37569.17,723,134.7
390,3.0,54031.54,51270.68,84,73.85
391,3.0,54063.43,45524.97,361,140.91
392,3.0,54132.7,18632.55,172,113.85
393,3.0,54291.77,11721.98,638,144.23
394,4.0,666.51,43725.42,145,92.03
395,4.0,824.74,52189.85,231,120.06
396,4.0,861.0,5603.3,564,143.69
397,4.0,866.9,51486.68,512,108.32
398,4.0,1432.44,46347.28,2285,120.17
399,4.0,1817.63,37553.87,218,106.45
